PO Number,Received Quantity,Condition
PO-15519,8,Good
PO-29621,47,Good
PO-29445,12,Incomplete
PO-62012,21,Damaged
PO-90882,24,Damaged
PO-91323,2,Good
PO-93993,79,Incomplete
PO-16216,4,Incomplete
PO-34594,64,Damaged
PO-11141,14,Good
PO-79767,33,Good
PO-75532,29,Good
PO-72932,29,Incomplete
PO-92758,33,Damaged
PO-15191,28,Good
PO-72162,20,Incomplete
PO-50706,29,Damaged
PO-86632,89,Good
PO-60896,21,Incomplete
PO-55823,82,Incomplete
PO-17553,96,Damaged
PO-55463,99,Damaged
PO-25156,56,Damaged
PO-41050,21,Good
PO-69847,3,Damaged
PO-56547,9,Incomplete
PO-25144,99,Good
PO-94635,6,Good
PO-24461,42,Incomplete
PO-97903,82,Incomplete
PO-70211,23,Damaged
PO-73482,14,Good
PO-82731,30,Good
PO-71050,3,Damaged
PO-75202,41,Damaged
PO-22161,15,Damaged
PO-65015,85,Incomplete
PO-86601,53,Incomplete
PO-78485,30,Incomplete
PO-21331,65,Incomplete
PO-74719,87,Good
PO-11869,82,Good
PO-74014,90,Good
PO-48448,91,Incomplete
PO-26533,19,Incomplete
PO-46134,80,Incomplete
PO-42014,49,Good
PO-97071,71,Damaged
PO-12745,98,Incomplete
PO-47543,37,Incomplete
PO-75705,44,Damaged
PO-95473,96,Good
PO-26256,15,Good
PO-12096,23,Good
PO-13143,34,Damaged
PO-23213,63,Incomplete
PO-49022,54,Good
PO-91702,64,Good
PO-50890,45,Incomplete
PO-92271,36,Incomplete
PO-44456,27,Damaged
PO-42458,4,Good
PO-41304,48,Damaged
PO-83662,69,Good
PO-81638,41,Good
PO-91467,74,Damaged
PO-51979,54,Damaged
PO-41398,95,Good
PO-12033,69,Good
PO-89386,5,Incomplete
PO-41090,75,Incomplete
PO-63901,47,Damaged
PO-37652,41,Damaged
PO-68680,36,Good
PO-63766,99,Damaged
PO-13974,10,Incomplete
PO-83926,75,Incomplete
PO-74530,6,Damaged
PO-94091,60,Damaged
PO-54972,38,Damaged
PO-81862,1,Good
PO-58411,63,Good
PO-43697,93,Incomplete
PO-83331,7,Good
PO-42616,71,Incomplete
PO-31725,58,Damaged
PO-61176,8,Damaged
PO-74684,55,Damaged
PO-50804,78,Good
PO-57652,27,Incomplete
PO-18372,9,Incomplete
PO-78353,92,Good
PO-22750,33,Good
PO-74616,18,Incomplete
PO-54168,79,Good
PO-72759,27,Damaged
PO-26015,77,Incomplete
