Invoice Number,Vendor,PO Number,Invoice Date,Total Amount
INV-41957,Vendor_33600,PO-93578,"April 08, 2024",31634.87
INV-57631,Vendor_47569,PO-40142,"April 14, 2024",8359.0
INV-22433,Vendor_61796,PO-40845,"May 04, 2024",75911.08
INV-22709,Vendor_93694,PO-83451,"April 16, 2024",54156.66
INV-21860,Vendor_59640,PO-67287,"April 22, 2024",66865.98
INV-94395,Vendor_60898,PO-73994,"April 30, 2024",36414.2
INV-96666,Vendor_86073,PO-29814,"May 03, 2024",5186.41
INV-70601,Vendor_21985,PO-78155,"April 23, 2024",45400.88
INV-86808,Vendor_95378,PO-27465,"April 10, 2024",96066.73
INV-49547,Vendor_70417,PO-57653,"May 02, 2024",80205.2
INV-33116,Vendor_65145,PO-83467,"May 01, 2024",65693.33
INV-16533,Vendor_32109,PO-47247,"April 21, 2024",55076.11
INV-39074,Vendor_31684,PO-96168,"April 20, 2024",11146.16
INV-54598,Vendor_85581,PO-16355,"April 26, 2024",71861.37
INV-76961,Vendor_87622,PO-26408,"April 07, 2024",87150.6
INV-10352,Vendor_99585,PO-81485,"April 19, 2024",74630.66
INV-76430,Vendor_53234,PO-86201,"May 01, 2024",45456.33
INV-92150,Vendor_22053,PO-47013,"April 13, 2024",33971.64
INV-51789,Vendor_51326,PO-44161,"April 13, 2024",106.45
INV-19791,Vendor_36003,PO-75774,"April 22, 2024",31957.45
INV-82424,Vendor_94847,PO-78789,"April 17, 2024",54695.89
INV-73270,Vendor_97017,PO-16198,"May 02, 2024",90821.58
INV-13369,Vendor_53404,PO-89918,"April 20, 2024",41332.73
INV-46091,Vendor_72837,PO-66667,"April 18, 2024",68748.25
INV-33037,Vendor_60817,PO-21471,"April 21, 2024",3586.78
INV-28405,Vendor_55350,PO-78509,"May 05, 2024",57101.99
INV-11026,Vendor_26879,PO-91692,"April 15, 2024",40239.93
INV-49116,Vendor_96093,PO-61513,"May 02, 2024",84664.64
INV-35038,Vendor_53057,PO-20671,"April 10, 2024",29458.89
INV-30441,Vendor_65482,PO-54224,"April 24, 2024",89041.25
INV-53968,Vendor_84268,PO-58554,"April 14, 2024",58291.65
INV-92123,Vendor_76313,PO-48996,"April 15, 2024",30219.78
INV-41882,Vendor_29415,PO-22006,"April 28, 2024",77579.22
INV-30440,Vendor_17217,PO-12901,"April 08, 2024",95872.51
INV-93465,Vendor_66377,PO-92933,"April 14, 2024",70728.7
INV-47027,Vendor_24397,PO-40829,"April 07, 2024",42982.11
INV-34291,Vendor_85074,PO-99548,"April 26, 2024",66559.61
INV-99555,Vendor_68597,PO-26253,"April 25, 2024",45787.15
INV-10315,Vendor_54263,PO-86151,"April 14, 2024",86859.27
INV-53195,Vendor_58642,PO-96060,"April 15, 2024",83154.88
INV-34130,Vendor_69143,PO-54624,"May 03, 2024",49551.76
INV-43618,Vendor_99159,PO-79042,"April 27, 2024",54480.77
INV-71102,Vendor_39295,PO-86234,"April 16, 2024",79909.93
