Invoice Number,Payment Method,Payment Date
INV-91545,ACH Transfer,"April 12, 2024"
INV-76554,ACH Transfer,"April 13, 2024"
INV-70354,Wire Transfer,"April 20, 2024"
INV-79205,Credit Card,"April 24, 2024"
INV-58855,ACH Transfer,"April 08, 2024"
INV-56380,ACH Transfer,"May 01, 2024"
INV-19166,ACH Transfer,"April 14, 2024"
INV-43043,ACH Transfer,"April 13, 2024"
INV-37978,ACH Transfer,"April 14, 2024"
INV-78456,Wire Transfer,"April 21, 2024"
INV-81166,Check,"April 11, 2024"
INV-87098,Credit Card,"April 21, 2024"
INV-58688,Credit Card,"April 16, 2024"
INV-16466,Credit Card,"April 19, 2024"
INV-61049,Credit Card,"April 08, 2024"
INV-95015,Check,"April 19, 2024"
INV-16610,ACH Transfer,"April 15, 2024"
INV-82442,Wire Transfer,"April 15, 2024"
INV-15908,ACH Transfer,"April 13, 2024"
INV-50276,ACH Transfer,"April 14, 2024"
INV-16248,Credit Card,"April 30, 2024"
INV-56919,Credit Card,"April 22, 2024"
INV-40469,ACH Transfer,"April 18, 2024"
INV-15064,Credit Card,"April 14, 2024"
INV-60915,Credit Card,"May 03, 2024"
INV-17385,Credit Card,"April 11, 2024"
INV-65671,Check,"April 20, 2024"
INV-21722,Check,"April 18, 2024"
INV-91039,Wire Transfer,"April 24, 2024"
INV-23562,Check,"April 19, 2024"
INV-74141,ACH Transfer,"April 10, 2024"
INV-84184,ACH Transfer,"April 19, 2024"
INV-87777,ACH Transfer,"April 16, 2024"
INV-38439,Wire Transfer,"April 14, 2024"
INV-91055,Credit Card,"April 27, 2024"
INV-44999,Credit Card,"April 18, 2024"
INV-24567,ACH Transfer,"May 01, 2024"
INV-10320,ACH Transfer,"April 24, 2024"
INV-13297,ACH Transfer,"April 24, 2024"
INV-72281,ACH Transfer,"May 02, 2024"
INV-16506,Wire Transfer,"April 19, 2024"
INV-52841,Credit Card,"May 04, 2024"
INV-15798,ACH Transfer,"May 03, 2024"
INV-45118,Credit Card,"April 20, 2024"
INV-17662,ACH Transfer,"April 30, 2024"
INV-36066,Check,"April 13, 2024"
INV-48655,Wire Transfer,"April 27, 2024"
INV-15726,Credit Card,"April 14, 2024"
INV-14184,Wire Transfer,"April 14, 2024"
INV-94419,ACH Transfer,"April 09, 2024"
INV-60681,ACH Transfer,"April 20, 2024"
INV-75853,ACH Transfer,"April 17, 2024"
INV-70966,Wire Transfer,"April 08, 2024"
INV-42288,Check,"April 29, 2024"
INV-52809,ACH Transfer,"May 01, 2024"
INV-98894,Credit Card,"April 25, 2024"
