PO Number,Vendor,Item,Unit Price,Quantity,Total Amount
PO-64616,Vendor_64437,Item_63396,2064.54,29,59871.66
PO-32423,Vendor_44357,Item_88904,1080.7,99,106989.3
PO-26342,Vendor_64321,Item_89495,9352.82,98,916576.36
PO-58570,Vendor_91396,Item_78065,2913.56,97,282615.32
PO-51104,Vendor_23031,Item_25359,7385.04,19,140315.76
PO-60475,Vendor_40578,Item_22607,9586.25,56,536830.0
PO-92307,Vendor_47039,Item_38093,2969.05,89,264245.45
PO-47610,Vendor_14895,Item_48626,3546.71,75,266003.25
PO-18971,Vendor_66508,Item_27177,7080.37,65,460224.05
PO-19597,Vendor_25293,Item_20703,6068.29,11,66751.19
PO-73942,Vendor_45585,Item_87304,6298.68,26,163765.68
PO-63257,Vendor_77328,Item_39021,4842.94,89,431021.66
PO-73489,Vendor_58973,Item_21126,2471.05,87,214981.35
PO-61867,Vendor_27479,Item_41387,7115.63,51,362897.13
PO-23560,Vendor_55753,Item_27801,8137.62,68,553358.16
PO-13421,Vendor_94254,Item_46938,9327.87,94,876819.78
PO-19128,Vendor_30385,Item_30158,4997.89,39,194917.71
PO-46158,Vendor_78230,Item_18386,4545.52,27,122729.04
PO-31394,Vendor_72766,Item_84988,5238.87,30,157166.1
PO-52218,Vendor_25099,Item_86236,3409.09,23,78409.07
PO-15619,Vendor_39306,Item_25876,3598.17,11,39579.87
PO-61936,Vendor_60234,Item_39471,7104.24,2,14208.48
PO-47057,Vendor_69605,Item_24081,4344.7,8,34757.6
PO-36277,Vendor_96880,Item_58467,9746.63,24,233919.12
PO-44549,Vendor_53902,Item_43371,5932.49,35,207637.15
PO-82262,Vendor_59815,Item_77082,2636.6,34,89644.4
PO-83445,Vendor_99384,Item_78895,9637.89,27,260223.03
PO-26467,Vendor_24922,Item_95593,6.22,59,366.98
PO-13854,Vendor_40287,Item_52328,5710.14,81,462521.34
PO-94567,Vendor_85723,Item_95389,5403.61,59,318812.99
PO-21236,Vendor_26053,Item_64586,2820.24,50,141012.0
PO-42777,Vendor_71797,Item_70428,3697.16,88,325350.08
PO-89737,Vendor_19449,Item_57107,2258.32,20,45166.4
PO-43303,Vendor_22196,Item_83762,7537.16,67,504989.72
PO-66845,Vendor_44922,Item_62068,8559.13,91,778880.83
PO-30841,Vendor_91754,Item_45138,1576.74,89,140329.86
PO-62201,Vendor_97392,Item_83898,2625.5,98,257299.0
PO-31451,Vendor_87986,Item_58955,629.77,68,42824.36
PO-37177,Vendor_34759,Item_69751,2526.68,48,121280.64
PO-93578,Vendor_61252,Item_26111,3233.31,46,148732.26
PO-39191,Vendor_35087,Item_84162,7889.68,74,583836.32
PO-30781,Vendor_68710,Item_77060,5634.01,13,73242.13
PO-63534,Vendor_28873,Item_23060,2826.84,24,67844.16
PO-93238,Vendor_83181,Item_15691,6570.5,38,249679.0
PO-29013,Vendor_86798,Item_81310,5660.64,17,96230.88
PO-97413,Vendor_10533,Item_50717,7973.41,3,23920.23
PO-89703,Vendor_39463,Item_27046,9476.9,91,862397.9
PO-77817,Vendor_85335,Item_95514,250.27,38,9510.26
PO-51657,Vendor_99548,Item_96945,3499.81,63,220488.03
PO-24517,Vendor_13343,Item_19042,6714.47,100,671447.0
PO-19923,Vendor_64190,Item_10541,8481.45,66,559775.7
PO-68447,Vendor_61675,Item_77898,4562.36,91,415174.76
PO-89717,Vendor_16767,Item_89188,1305.9,11,14364.9
PO-79045,Vendor_90729,Item_43421,5555.41,76,422211.16
PO-36468,Vendor_59555,Item_14656,1518.67,31,47078.77
PO-69415,Vendor_83639,Item_95849,367.38,48,17634.24
PO-67290,Vendor_82695,Item_60576,2259.12,22,49700.64
PO-46658,Vendor_49224,Item_93759,87.58,77,6743.66
PO-19150,Vendor_23454,Item_88897,2801.23,16,44819.68
PO-23408,Vendor_65789,Item_44413,6884.13,85,585151.05
PO-79898,Vendor_16940,Item_83711,2496.63,42,104858.46
PO-12526,Vendor_53637,Item_27818,2319.2,32,74214.4
PO-48527,Vendor_63641,Item_87594,8492.78,35,297247.3
PO-90937,Vendor_44994,Item_21983,2345.39,92,215775.88
PO-36782,Vendor_42709,Item_59475,9122.78,34,310174.52
PO-70717,Vendor_36201,Item_57372,5942.74,31,184224.94
PO-98648,Vendor_76894,Item_87514,6022.96,45,271033.2
PO-50734,Vendor_88803,Item_16829,2776.81,51,141617.31
PO-40408,Vendor_68017,Item_94232,1283.16,58,74423.28
PO-18580,Vendor_52033,Item_80939,3595.22,30,107856.6
PO-70890,Vendor_66868,Item_68580,1939.25,95,184228.75
PO-76445,Vendor_44252,Item_79607,7218.33,69,498064.77
PO-44526,Vendor_64338,Item_78618,2697.31,15,40459.65
PO-66915,Vendor_73487,Item_24249,6007.7,7,42053.9
PO-42847,Vendor_68138,Item_81889,7721.16,37,285682.92
PO-43783,Vendor_72679,Item_84815,5395.36,20,107907.2
PO-98804,Vendor_75936,Item_25284,7342.92,84,616805.28
PO-46254,Vendor_19029,Item_72127,5621.68,8,44973.44
PO-14314,Vendor_37584,Item_39611,2109.95,28,59078.6
PO-65412,Vendor_36232,Item_83714,2037.65,5,10188.25
PO-46154,Vendor_88547,Item_24400,5130.03,97,497612.91
PO-70637,Vendor_18484,Item_35427,2124.65,71,150850.15
PO-82240,Vendor_53605,Item_11692,617.07,24,14809.68
PO-76950,Vendor_87207,Item_49305,172.46,54,9312.84
PO-88813,Vendor_14116,Item_49830,1888.41,36,67982.76
