Employee,Department,Item,Budget Code,Delivery Date
Employee_20867,IT,Item_63070,IT-23377,"May 03, 2024"
Employee_18224,Marketing,Item_99863,Mar-45632,"April 22, 2024"
Employee_45343,R&D,Item_22924,R&D-60937,"April 12, 2024"
Employee_32333,HR,Item_53738,HR-50368,"April 17, 2024"
Employee_42888,Sales,Item_87677,Sal-45635,"April 28, 2024"
Employee_91624,Marketing,Item_60125,Mar-35242,"May 03, 2024"
Employee_76669,HR,Item_38490,HR-67838,"April 25, 2024"
Employee_57106,HR,Item_76542,HR-48127,"May 01, 2024"
Employee_73640,Operations,Item_40467,Ope-51461,"April 22, 2024"
Employee_10158,Sales,Item_35169,Sal-48227,"April 22, 2024"
Employee_37112,Sales,Item_54731,Sal-29104,"May 01, 2024"
Employee_76798,Finance,Item_52320,Fin-17918,"April 10, 2024"
Employee_55285,Operations,Item_60665,Ope-13553,"April 23, 2024"
Employee_49040,Sales,Item_94017,Sal-37706,"April 21, 2024"
Employee_73900,IT,Item_38867,IT-34430,"April 15, 2024"
Employee_33775,Marketing,Item_72215,Mar-69158,"April 09, 2024"
Employee_46094,IT,Item_20088,IT-95537,"April 21, 2024"
Employee_15049,HR,Item_26321,HR-16820,"April 12, 2024"
Employee_13603,HR,Item_40888,HR-63288,"April 24, 2024"
Employee_32523,Finance,Item_33231,Fin-58868,"April 26, 2024"
Employee_20825,Operations,Item_27001,Ope-81578,"April 26, 2024"
Employee_72798,Operations,Item_66409,Ope-66141,"April 07, 2024"
Employee_74229,R&D,Item_33973,R&D-41822,"May 05, 2024"
Employee_18221,Operations,Item_21758,Ope-95461,"April 07, 2024"
Employee_82766,Sales,Item_66241,Sal-90012,"April 19, 2024"
Employee_39608,Marketing,Item_87438,Mar-37676,"April 16, 2024"
Employee_91078,Marketing,Item_95791,Mar-93589,"April 13, 2024"
Employee_95463,Marketing,Item_93665,Mar-78022,"April 10, 2024"
Employee_38571,Sales,Item_61221,Sal-22778,"April 08, 2024"
Employee_46201,IT,Item_22436,IT-55587,"April 22, 2024"
